Wed May 25 18:15:15 2022    qatm_pytorch.stats

         391679 function calls (384663 primitive calls) in 32.997 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.247    0.247 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:113(_draw_list_compositing_images)
        1    0.000    0.000    0.246    0.246 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2665(draw)
        1    0.000    0.000    0.242    0.242 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:619(show)
        1    0.241    0.241    0.241    0.241 {built-in method show}
        1    0.000    0.000    0.236    0.236 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:2718(imshow)
        3    0.000    0.000    0.227    0.076 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:2366(gca)
        1    0.000    0.000    0.191    0.191 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torchvision\models\vgg.py:63(make_layers)
       16    0.000    0.000    0.189    0.012 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\conv.py:394(__init__)
       16    0.001    0.000    0.188    0.012 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\conv.py:37(__init__)
        3    0.000    0.000    0.188    0.063 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:736(gcf)
        1    0.000    0.000    0.188    0.188 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:555(figure)
        1    0.000    0.000    0.188    0.188 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:312(new_figure_manager)
        1    0.000    0.000    0.188    0.188 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:3487(new_figure_manager)
        1    0.000    0.000    0.187    0.187 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:3496(new_figure_manager_given_figure)
        1    0.185    0.185    0.185    0.185 {imwrite}
       16    0.000    0.000    0.185    0.012 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\conv.py:85(reset_parameters)
      414    0.006    0.000    0.179    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:1304(__init__)
      413    0.006    0.000    0.176    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:1425(__init__)
      414    0.002    0.000    0.148    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:1950(inaxes)
      426    0.003    0.000    0.147    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cbook\__init__.py:213(process)
        2    0.145    0.073    0.145    0.073 {built-in method sqrt}
      414    0.001    0.000    0.143    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:1964(<listcomp>)
      414    0.003    0.000    0.141    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:153(contains_point)
      413    0.005    0.000    0.141    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:2984(mouse_move)
        2    0.000    0.000    0.134    0.067 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1156(draw)
        1    0.000    0.000    0.117    0.117 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\module.py:1000(load_state_dict)
     48/1    0.000    0.000    0.117    0.117 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\module.py:1029(load)
       48    0.002    0.000    0.117    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\nn\modules\module.py:924(_load_from_state_dict)
        1    0.030    0.030    0.117    0.117 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:535(__init__)
       38    0.114    0.003    0.114    0.003 {method 'copy_' of 'torch._C._TensorBase' objects}
4077/3970    0.072    0.000    0.109    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       35    0.001    0.000    0.097    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:863(get_window_extent)
       50    0.001    0.000    0.093    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:268(_get_layout)
       51    0.000    0.000    0.091    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_agg.py:268(_get_agg_font)
       34    0.000    0.000    0.088    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_agg.py:215(get_text_width_height_descent)
      437    0.002    0.000    0.085    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:258(get_transform)
      162    0.001    0.000    0.081    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:3696(format_coord)
      431    0.001    0.000    0.079    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:791(get_patch_transform)
      431    0.007    0.000    0.078    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:761(_update_patch_transform)
        2    0.000    0.000    0.073    0.037 D:\Magistrs\Praktiskais\utils.py:33(compute_score)
        2    0.072    0.036    0.072    0.036 {filter2D}
      324    0.015    0.000    0.072    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\ticker.py:712(format_data_short)
       51    0.001    0.000    0.072    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\font_manager.py:1252(findfont)
        4    0.000    0.000    0.071    0.018 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\torch\functional.py:1211(norm)
        4    0.070    0.018    0.070    0.018 {built-in method frobenius_norm}
        1    0.000    0.000    0.070    0.070 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5agg.py:19(__init__)
        1    0.005    0.005    0.070    0.070 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:217(__init__)
        1    0.000    0.000    0.069    0.069 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:600(_get_toolbar)
        1    0.047    0.047    0.069    0.069 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:653(__init__)
        1    0.000    0.000    0.067    0.067 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:619(draw)
        1    0.000    0.000    0.066    0.066 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:919(make_image)
